tail_number,model,year_built,type,passengers,engines,engine_type
N419AS,Boeing 737-990/ER,2013.0,Fixed wing multi engine,130.0,2.0,Turbofan
N479AS,Boeing 737-900/ER,2015.0,Fixed wing multi engine,180.0,2.0,Turbofan
N265AK,Boeing 737-990/ER,2016.0,Fixed wing multi engine,,2.0,Turbofan
N268AK,Boeing 737-990/ER,2017.0,Fixed wing multi engine,,2.0,Turbofan
N494AS,Boeing 737-990/ER,2016.0,Fixed wing multi engine,181.0,2.0,Turbofan
N248AK,Boeing 737-990/ER,2016.0,Fixed wing multi engine,,2.0,Turbofan
N434AS,Boeing 737-990/ER,2016.0,Fixed wing multi engine,,2.0,Turbofan
N588AS,Boeing 737-890,2007.0,Fixed wing multi engine,149.0,2.0,Turbofan
N535AS,Boeing 737-890,2011.0,Fixed wing multi engine,157.0,2.0,Turbofan
N277AK,Boeing 737-990/ER,2017.0,Fixed wing multi engine,,2.0,Turbofan
N486AS,Boeing 737-990/ER,2015.0,Fixed wing multi engine,,2.0,Turbofan
N492AS,Boeing 737-990/ER,2015.0,Fixed wing multi engine,,2.0,Turbofan
N273AK,Boeing 737-900/ER,2017.0,Fixed wing multi engine,222.0,2.0,Turbofan
N253AK,Boeing 737-990/ER,2016.0,Fixed wing multi engine,181.0,2.0,Turbofan
N467AS,Boeing 737-990/ER,2014.0,Fixed wing multi engine,186.0,2.0,Turbofan
N619AS,Boeing 737-790,2000.0,Fixed wing multi engine,151.0,2.0,Turbojet
N612AS,Boeing 737-790,1999.0,Fixed wing multi engine,151.0,2.0,Turbojet
N622AS,Boeing 737-790,2000.0,Fixed wing multi engine,151.0,2.0,Turbofan
N408AS,Boeing 737-990/ER,2013.0,Fixed wing multi engine,,2.0,Turbojet
N577AS,Boeing 737-890,2007.0,Fixed wing multi engine,149.0,2.0,Turbofan
